sensitivity,origin,horizon,model,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,26,13,index_trend,117,122.89630634175437,206.8093429061951,5.655875179214283,6.161456515882752,-4.423682803813627
all,26,13,last,117,232.48717948717947,318.06496944228985,12.053712823169892,11.655839703815433,-0.7708854684446882
all,26,13,rf,117,272.039242539404,394.7500374677282,11.89565461140282,13.638798540121295,-11.432325378533545
all,26,13,ridge,117,223.87375346828384,308.72451912832236,11.648642921764429,11.224002072173224,5.984139217929263
all,26,13,ridge_no_channel,117,693.6590987052824,895.9219750721749,40.60865636840337,34.77688224114619,-3.1505508615703652
all,26,13,ridge_no_season,117,649.9446260016323,883.8031488710473,35.59398410637572,32.58523929681489,29.150293196420616
all,26,13,ridge_price,117,220.35474625752778,304.97739889884053,11.447110170805285,11.0475752083108,5.7213938691635615
all,26,13,ridge_promo,117,223.94112294887645,308.80614359376153,11.653370043353497,11.227379668600042,5.990222133654985
all,26,26,index_trend,234,104.8213004386203,168.7370284246445,5.483382651364267,6.036161647882671,-4.6300931722333445
all,26,26,last,234,366.5982905982906,456.0394813467454,23.62224741715894,21.110657210215724,13.97402265020155
all,26,26,rf,234,189.57902932508318,295.74834377589997,9.626295467033012,10.916957348043693,-7.3841664309893655
all,26,26,ridge,234,199.2045714765815,276.504309733222,11.75714718621643,11.47124667790155,7.996583822265839
all,26,26,ridge_no_channel,234,606.1100855481224,783.6115437438091,41.51002231252311,34.90300575809778,-1.3115572839471166
all,26,26,ridge_no_season,234,1507.88975388164,2000.0842857921182,98.1990812001801,86.83222077506404,84.85954054660117
all,26,26,ridge_price,234,193.65400405511292,271.0236172526389,11.393671033519464,11.151615819924604,7.543305204726624
all,26,26,ridge_promo,234,199.17890549623266,276.5140061719501,11.756496863484129,11.469768695796878,7.994231224497442
all,26,52,index_trend,468,136.99103865217236,218.2899728575384,6.414538484986024,7.449958061231406,-6.536010577611246
all,26,52,last,468,400.017094017094,498.6655397286046,23.637317529441255,21.754054889456473,7.635672336578485
all,26,52,rf,468,282.703972294311,444.62432937502336,12.892198320266953,15.374237308206173,-13.082269954139102
all,26,52,ridge,468,143.4924357333958,213.74194161096565,8.142587606318418,7.803522324055242,3.4986201340872984
all,26,52,ridge_no_channel,468,640.559515509684,851.4181058919866,39.851134579404786,34.835428457379464,-5.42184499925215
all,26,52,ridge_no_season,468,3358.144264298095,4431.285250112799,184.40783650740062,182.62533212926243,181.6938445948295
all,26,52,ridge_price,468,141.70208172656342,211.53928722048096,7.980614676467475,7.7061578365903,2.81794193035361
all,26,52,ridge_promo,468,143.50920188470468,213.8037422458786,8.142155243766833,7.804434114529483,3.4716113606378514
all,52,13,index_trend,117,61.23899793556097,82.85300943789215,3.9548207545459473,3.9897556343887164,-0.6916628410210327
all,52,13,last,117,113.52991452991454,151.0272234473713,7.466787630967373,7.396538667141839,-2.078692979330007
all,52,13,rf,117,146.66423276620526,200.7693184084457,8.975925679644586,9.555258393646437,-7.161055823754764
