sensitivity,origin,horizon,model,channel,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,26,13,index_trend,DTC Online,39,120.736058627169,188.84683229683952,5.691283376224381,6.306105996410278,-4.629280027343708
all,26,13,index_trend,Gym & Office,39,73.56589471733803,127.08345522468991,5.854440286721487,6.759818801630854,-5.280255874340061
all,26,13,index_trend,Retail/Grocery,39,174.38696568075602,276.5808783692035,5.421901874696982,5.85009948867111,-3.97891204001545
all,26,13,last,DTC Online,39,221.6153846153846,290.11894112587686,11.295303356193287,11.57508470717433,-1.5628975880218028
all,26,13,last,Gym & Office,39,150.33333333333334,190.6541371174515,13.835321904988948,13.813820889192565,1.7505831350281553
all,26,13,last,Retail/Grocery,39,325.5128205128205,427.7592481279328,11.030513208327449,10.9198665015139,-1.1827346545554638
all,26,13,rf,DTC Online,39,280.7585587227491,378.81122511941953,13.077484199911446,14.664162892481771,-13.288451226682914
all,26,13,rf,Gym & Office,39,98.33583634590453,153.89040006532161,8.234524239296428,9.035877806682555,-3.6210718970486706
all,26,13,rf,Retail/Grocery,39,437.0233325495583,547.9987013977114,14.374955395000585,14.660671250888361,-13.091921189151465
all,26,13,ridge,DTC Online,39,210.14552229577325,269.4324541554792,11.288271687150269,10.976007941093568,5.398027563015714
all,26,13,ridge,Gym & Office,39,126.66547786615759,162.08621960068595,11.943810667951489,11.63903031543516,4.535004674474294
all,26,13,ridge,Retail/Grocery,39,334.8102602429207,432.5120763589792,11.713846410191527,11.23176451062647,6.889640771299406
all,26,13,ridge_no_channel,DTC Online,39,188.33627047482182,257.1071919898346,9.597869568894387,9.836899581510467,0.896678436553532
all,26,13,ridge_no_channel,Gym & Office,39,843.475405686927,893.2766051643454,80.22894183316238,77.50522070021006,77.50522070021006
all,26,13,ridge_no_channel,Retail/Grocery,39,1049.1656199540985,1242.57046268807,31.99915770315332,35.195997779219866,-35.195997779219866
all,26,13,ridge_no_season,DTC Online,39,616.6265346468101,763.5969033830885,35.22085383127876,32.20671878721503,28.436068477170185
all,26,13,ridge_no_season,Gym & Office,39,350.99089110102085,431.92226766476375,35.74474975204764,32.25183128652502,27.384404898894974
all,26,13,ridge_no_season,Retail/Grocery,39,982.2164522570662,1254.4667957750903,35.816348735800766,32.95007710399943,30.253720482527058
all,26,13,ridge_price,DTC Online,39,208.02931502075916,267.3301573157724,11.1377361335661,10.865477354470539,5.237148155343407
all,26,13,ridge_price,Gym & Office,39,125.01100888265934,160.64200643123084,11.73913368848816,11.487004562410089,4.276900690659071
all,26,13,ridge_price,Retail/Grocery,39,328.0239148691646,426.3359875457153,11.46446069036159,11.004105319207111,6.559774401613528
all,26,13,ridge_promo,DTC Online,39,210.16286338380917,269.55686468552375,11.287078595335757,10.976913674976975,5.403479022130695
all,26,13,ridge_promo,Gym & Office,39,126.7685881119806,162.16662388411538,11.956146072203405,11.648504903911702,4.553829749644672
all,26,13,ridge_promo,Retail/Grocery,39,334.8919173508397,432.57922483944,11.716885462521333,11.234503833507732,6.891477323485678
all,26,26,index_trend,DTC Online,78,103.91935781405745,154.3045963381423,5.719889782997642,6.23233294850528,-4.755302740058508
all,26,26,index_trend,Gym & Office,78,54.437040557428915,95.2932824524962,5.056341784864977,5.782814212240154,-4.651186059841097
all,26,26,index_trend,Retail/Grocery,78,156.10750294437452,229.18515692140633,5.673916386230179,6.002092596533336,-4.5421871957299835
all,26,26,last,DTC Online,78,343.0128205128205,396.5292209622427,22.245830832287204,20.571432965038944,13.028702358160528
all,26,26,last,Gym & Office,78,231.6153846153846,264.61660703355096,26.877994678459455,24.604363576934603,17.631356740119305
all,26,26,last,Retail/Grocery,78,525.1666666666666,629.8084263060903,21.742916740730163,20.191847941282305,13.256337833774504
all,26,26,rf,DTC Online,78,198.85057921395514,288.0047617011918,10.390926106827742,11.925622354999271,-9.695457507491572
all,26,26,rf,Gym & Office,78,76.40167471176191,117.82557809715138,7.7039770694129786,8.11610414228942,0.46948064947875423
all,26,26,rf,Retail/Grocery,78,293.4848340495325,406.90495072200287,10.783983224858314,11.284038988639729,-8.744934633187093
all,26,26,ridge,DTC Online,78,185.76088705105596,238.17819688810587,11.398951576490099,11.140597105915289,7.3655081920668035
all,26,26,ridge,Gym & Office,78,112.44278884058305,141.74824151924676,12.168851021705276,11.944730108633832,7.213709521450444
all,26,26,ridge,Retail/Grocery,78,299.41003853810554,390.5668732195149,11.703638960453926,11.51185395795919,8.684517384316855
all,26,26,ridge_no_channel,DTC Online,78,158.80461561872596,216.87091968893267,9.345591813769225,9.523954526992076,2.78013171314289
