sensitivity,origin,horizon,model,country,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,26,13,index_trend,Denmark,39,81.31135993427779,148.73324574171858,4.616348657393032,5.3261610665896875,-2.2460133790483927
all,26,13,index_trend,Netherlands,39,155.92068088040963,262.4263440005827,5.966065468677247,6.149846331714494,-5.010570984440368
all,26,13,index_trend,Sweden,39,131.45687821057564,193.1868228567827,6.385211411572573,6.840317878869179,-5.379324477848395
all,26,13,last,Denmark,39,192.48717948717947,253.74078232594897,12.546194302799604,12.60854230000504,-1.2210483884512673
all,26,13,last,Netherlands,39,291.46153846153845,398.62819255220256,12.043598601527467,11.495868687992395,-1.1579809666359895
all,26,13,last,Sweden,39,213.51282051282053,283.20867544295646,11.571345565182607,11.110073382254837,0.09739826551034023
all,26,13,rf,Denmark,39,195.7964185688753,291.7349862210059,10.850237015953262,12.825308325947928,-9.572493522488903
all,26,13,rf,Netherlands,39,348.63175481963685,489.3527719404267,12.717643313489921,13.750784734843434,-11.428401891089344
all,26,13,rf,Sweden,39,271.68955422969975,378.030869971182,12.11908350476528,14.13728167439398,-12.914920166952985
all,26,13,ridge,Denmark,39,178.81592933295218,232.67169908610057,12.22320088975211,11.713030524505173,5.467286090934978
all,26,13,ridge,Netherlands,39,306.4363406879933,408.5635162766295,12.545468535089336,12.086507030645272,7.034173558965369
all,26,13,ridge,Sweden,39,186.3689903839061,254.70025470168864,10.177259340451839,9.697652601697582,5.00944372387728
all,26,13,ridge_no_channel,Denmark,39,433.46495164642636,516.2609474024713,34.315072947113606,28.393377641899644,0.09507400035579834
all,26,13,ridge_no_channel,Netherlands,39,1092.2237502067615,1299.326609337469,54.0137800565913,43.07964912475217,-6.651928245034538
all,26,13,ridge_no_channel,Sweden,39,555.2885942626599,673.2410806734676,33.497116101505206,28.894269748157086,-1.109571066435847
all,26,13,ridge_no_season,Denmark,39,499.6749856319744,638.5722691068596,36.36030730163323,32.730352272706966,28.520465626150493
all,26,13,ridge_no_season,Netherlands,39,854.6814604846987,1156.7083388919032,36.68222569259001,33.71047134265441,30.429845438971462
all,26,13,ridge_no_season,Sweden,39,595.477431888224,773.029943617184,33.73941932490393,30.98548344715242,27.962547466135447
all,26,13,ridge_price,Denmark,39,174.92824194310796,230.35947612548546,11.884790120396813,11.45837423500766,5.125983466474143
all,26,13,ridge_price,Netherlands,39,302.43586398050724,404.0645929580324,12.369327586473503,11.928719642431437,6.797267451260201
all,26,13,ridge_price,Sweden,39,183.70013284896805,250.39959663337928,10.087212805545539,9.558779427764849,4.775014096536368
all,26,13,ridge_promo,Denmark,39,178.6780356340828,232.5727407227974,12.216895527359512,11.703998034446714,5.448072292379668
all,26,13,ridge_promo,Netherlands,39,306.5254480932793,408.64979905284605,12.552648681524769,12.090021617975397,7.043071237749571
all,26,13,ridge_promo,Sweden,39,186.61988511926737,254.9489458117207,10.190565921176214,9.710707831422853,5.031908495708655
all,26,26,index_trend,Denmark,78,60.61923153666374,111.5297301112091,4.0543687735837874,4.565097813043468,-1.6714623183362134
all,26,26,index_trend,Netherlands,78,140.14696402478225,216.1348787012796,6.2069731518829965,6.345503998893032,-5.675371946961225
all,26,26,index_trend,Sweden,78,113.69770575441488,162.0598278255345,6.188806028626017,6.7953083710150795,-5.598378418281465
all,26,26,last,Denmark,78,285.6794871794872,332.6184963326064,23.885860091876097,21.513878831764423,13.564083997103548
all,26,26,last,Netherlands,78,457.8076923076923,586.3159317252703,22.137493309270347,20.728387250320715,13.465412054263341
all,26,26,last,Sweden,78,356.3076923076923,411.72149536256876,24.84338885033037,21.295246268427988,14.970729763692647
all,26,26,rf,Denmark,78,138.48420855472665,217.5329658406517,9.097973302848219,10.428933881022136,-5.8421097502385155
all,26,26,rf,Netherlands,78,244.28119905590523,367.0462950507288,10.568543529318394,11.060441703107667,-6.869560976200744
all,26,26,rf,Sweden,78,185.97168036461775,283.4742926627861,9.212369568932424,11.11486734027047,-9.287269053132524
all,26,26,ridge,Denmark,78,151.69524716671103,198.13683640759788,11.652732166543018,11.423827447746522,7.571380191821529
all,26,26,ridge,Netherlands,78,268.82259799926385,368.9951746901264,12.457743286499442,12.171614864917823,9.00507722596842
all,26,26,ridge,Sweden,78,177.09586926376954,232.26763661114856,11.160966105606835,10.584391610149588,7.002823277885586
all,26,26,ridge_no_channel,Denmark,78,369.47719827646364,445.1882540251711,34.26592538354119,27.824495742760472,2.091991362488966
all,26,26,ridge_no_channel,Netherlands,78,946.4200073000382,1134.281210463882,54.98290071119377,42.851530768035815,-4.933037438368327
all,26,26,ridge_no_channel,Sweden,78,502.43305106786505,597.7915259789796,35.281240842834364,30.02864037706001,0.7676520873380089
all,26,26,ridge_no_season,Denmark,78,1149.3069946572712,1430.614731489335,98.75970262928715,86.55172153827387,84.13171245259367
all,26,26,ridge_no_season,Netherlands,78,1953.9239190421538,2597.991651020042,99.58431876168481,88.46878794764528,86.5857954025839
all,26,26,ridge_no_season,Sweden,78,1420.4383479454955,1790.193375614366,96.25322220956835,84.89455906132088,83.15850416984125
all,26,26,ridge_price,Denmark,78,146.4750589421252,194.4534717202496,11.138337350505626,11.030706828371484,7.038595068830203
all,26,26,ridge_price,Netherlands,78,261.67673988859576,362.0522743604306,12.083969150991237,11.848068282711814,8.576482027815818
all,26,26,ridge_price,Sweden,78,172.8102133346178,226.86427945469146,10.958706599061525,10.328253164633729,6.5800611724456415
all,26,26,ridge_promo,Denmark,78,151.46896051921166,197.94400061872076,11.638665184612258,11.40678630991891,7.543267764533561
all,26,26,ridge_promo,Netherlands,78,268.77375954648204,368.9792881663769,12.459089695569055,12.169403581929402,9.005507654546543
all,26,26,ridge_promo,Sweden,78,177.29399642300427,232.49181566470986,11.17173571027108,10.596232967323331,7.017240836818302
all,26,52,index_trend,Denmark,156,60.250706454997925,96.349538522224,4.125502393725975,4.278916242291384,-2.1485904475772917
all,26,52,index_trend,Netherlands,156,211.45782068312053,308.2133504763488,8.197063201224692,9.022718577085262,-8.706955295725255
all,26,52,index_trend,Sweden,156,139.26458881839864,196.6540967412893,6.921049860007404,7.891462746473929,-7.153658244935501
all,26,52,last,Denmark,156,308.68589743589746,364.0401587455527,23.715672853565067,21.9224168150013,7.095934189501095
all,26,52,last,Netherlands,156,499.87179487179486,636.7098220036326,22.143455209346165,21.32908830319143,6.92880821872846
all,26,52,last,Sweden,156,391.4935897435897,456.15493740951325,25.052824525412532,22.184082150083,9.005052651461492
